country,model,scores,scores_RSF,type
Papua New Guinea,DEEPSEEK,60.41666667,82.86,original
Papua New Guinea,DEEPSEEK,60.22727273,56.43,original
Paraguay,DEEPSEEK,27.0,34.95,original
Paraguay,DEEPSEEK,75.0,64.42,original
Paraguay,DEEPSEEK,53.03030303,40.9,original
Paraguay,DEEPSEEK,64.58333333,55.27,original
Paraguay,DEEPSEEK,71.59090909,56.88,original
Peru,DEEPSEEK,31.0,39.29,original
Peru,DEEPSEEK,65.0,58.1,original
Peru,DEEPSEEK,51.51515152,39.44,original
Peru,DEEPSEEK,39.58333333,48.73,original
Peru,DEEPSEEK,67.04545455,53.23,original
Philippines,DEEPSEEK,29.0,37.11,original
Philippines,DEEPSEEK,61.0,47.48,original
Philippines,DEEPSEEK,46.96969697,36.14,original
Philippines,DEEPSEEK,18.75,44.44,original
Philippines,DEEPSEEK,62.5,51.64,original
Poland,DEEPSEEK,47.0,59.46,original
Poland,DEEPSEEK,38.0,59.46,variation1
Poland,DEEPSEEK,42.0,59.46,variation2
Poland,DEEPSEEK,67.0,70.19,original
Poland,DEEPSEEK,61.0,70.19,variation1
Poland,DEEPSEEK,67.0,70.19,variation2
Poland,DEEPSEEK,43.93939394,51.63,original
Poland,DEEPSEEK,44.6969697,51.63,variation1
Poland,DEEPSEEK,46.96969697,51.63,variation2
Poland,DEEPSEEK,68.75,87.2,original
Poland,DEEPSEEK,66.66666667,87.2,variation1
Poland,DEEPSEEK,60.41666667,87.2,variation2
Poland,DEEPSEEK,76.13636364,77.38,original
Poland,DEEPSEEK,71.59090909,77.38,variation1
Poland,DEEPSEEK,73.86363636,77.38,variation2
Portugal,DEEPSEEK,51.0,72.92,original
Portugal,DEEPSEEK,85.0,83.79,original
Portugal,DEEPSEEK,76.51515152,91.51,original
Portugal,DEEPSEEK,79.16666667,93.03,original
Portugal,DEEPSEEK,80.68181818,88.27,original
Qatar,DEEPSEEK,47.0,51.39,original
Qatar,DEEPSEEK,38.0,41.9,original
Qatar,DEEPSEEK,38.63636364,50.56,original
Qatar,DEEPSEEK,85.41666667,88.66,original
Qatar,DEEPSEEK,47.72727273,59.9,original
Romania,DEEPSEEK,28.0,48.2,original
Romania,DEEPSEEK,72.0,70.54,original
Romania,DEEPSEEK,60.60606061,61.92,original
Romania,DEEPSEEK,64.58333333,88.2,original
Romania,DEEPSEEK,69.31818182,73.38,original
Russia,DEEPSEEK,17.0,33.72,original
Russia,DEEPSEEK,37.0,31.43,original
Russia,DEEPSEEK,21.21212121,19.88,original
Russia,DEEPSEEK,12.5,27.0,original
Russia,DEEPSEEK,37.5,37.28,original
Rwanda,DEEPSEEK,31.0,32.08,original
Rwanda,DEEPSEEK,40.0,54.42,original
Rwanda,DEEPSEEK,35.60606061,35.65,original
Rwanda,DEEPSEEK,31.25,30.56,original
Rwanda,DEEPSEEK,42.04545455,50.0,original
Samoa,DEEPSEEK,39.0,68.98,original
Samoa,DEEPSEEK,73.0,69.11,original
Samoa,DEEPSEEK,67.42424242,74.9,original
Samoa,DEEPSEEK,85.41666667,96.03,original
Samoa,DEEPSEEK,73.86363636,83.03,original
Saudi Arabia,DEEPSEEK,21.0,40.36,original
Saudi Arabia,DEEPSEEK,22.0,20.43,original
Saudi Arabia,DEEPSEEK,25.0,21.01,original
Saudi Arabia,DEEPSEEK,31.25,23.84,original
Saudi Arabia,DEEPSEEK,35.22727273,30.06,original
Senegal,DEEPSEEK,40.0,44.21,original
Senegal,DEEPSEEK,40.0,44.21,variation1
Senegal,DEEPSEEK,34.0,44.21,variation2
Senegal,DEEPSEEK,66.0,62.5,original
Senegal,DEEPSEEK,56.0,62.5,variation1
Senegal,DEEPSEEK,55.0,62.5,variation2
Senegal,DEEPSEEK,61.36363636,52.9,original
Senegal,DEEPSEEK,62.12121212,52.9,variation1
Senegal,DEEPSEEK,57.57575758,52.9,variation2
Senegal,DEEPSEEK,60.41666667,51.71,original
Senegal,DEEPSEEK,60.41666667,51.71,variation1
Senegal,DEEPSEEK,64.58333333,51.71,variation2
Senegal,DEEPSEEK,80.68181818,65.87,original
Senegal,DEEPSEEK,71.59090909,65.87,variation1
Senegal,DEEPSEEK,71.59090909,65.87,variation2
Serbia,DEEPSEEK,26.0,36.46,original
Serbia,DEEPSEEK,63.0,70.32,original
Serbia,DEEPSEEK,41.66666667,33.07,original
Serbia,DEEPSEEK,43.75,78.97,original
Serbia,DEEPSEEK,48.86363636,53.57,original
Seychelles,DEEPSEEK,55.0,59.79,original
Seychelles,DEEPSEEK,78.0,74.23,original
Seychelles,DEEPSEEK,68.93939394,67.1,original
Seychelles,DEEPSEEK,93.75,92.62,original
Seychelles,DEEPSEEK,86.36363636,75.0,original
Sierra Leone,DEEPSEEK,28.0,43.56,original
Sierra Leone,DEEPSEEK,58.0,69.23,original
Sierra Leone,DEEPSEEK,53.03030303,54.55,original
Sierra Leone,DEEPSEEK,52.08333333,81.39,original
Sierra Leone,DEEPSEEK,71.59090909,72.62,original
Singapore,DEEPSEEK,54.0,35.94,original
Singapore,DEEPSEEK,56.0,30.58,original
Singapore,DEEPSEEK,47.72727273,35.29,original
Singapore,DEEPSEEK,77.08333333,84.76,original
Singapore,DEEPSEEK,53.40909091,49.4,original
Slovakia,DEEPSEEK,50.0,64.84,original
Slovakia,DEEPSEEK,80.0,80.53,original
Slovakia,DEEPSEEK,62.87878788,65.52,original
Slovakia,DEEPSEEK,68.75,88.39,original
Slovakia,DEEPSEEK,78.40909091,80.85,original
Slovenia,DEEPSEEK,56.0,49.81,original
Slovenia,DEEPSEEK,87.0,81.03,original
Slovenia,DEEPSEEK,78.78787879,67.85,original
Slovenia,DEEPSEEK,75.0,90.58,original
Slovenia,DEEPSEEK,87.5,73.7,original
Somalia,DEEPSEEK,24.0,42.01,original
Somalia,DEEPSEEK,19.0,42.01,variation1
Somalia,DEEPSEEK,23.0,42.01,variation2
Somalia,DEEPSEEK,26.0,35.58,original
Somalia,DEEPSEEK,22.0,35.58,variation1
Somalia,DEEPSEEK,21.0,35.58,variation2
Somalia,DEEPSEEK,36.36363636,35.99,original
Somalia,DEEPSEEK,26.51515152,35.99,variation1
Somalia,DEEPSEEK,27.27272727,35.99,variation2
Somalia,DEEPSEEK,14.58333333,38.56,original
Somalia,DEEPSEEK,14.58333333,38.56,variation1
Somalia,DEEPSEEK,12.5,38.56,variation2
Somalia,DEEPSEEK,35.22727273,44.84,original
Somalia,DEEPSEEK,29.54545455,44.84,variation1
Somalia,DEEPSEEK,34.09090909,44.84,variation2
South Africa,DEEPSEEK,38.0,58.78,original
South Africa,DEEPSEEK,69.0,80.29,original
South Africa,DEEPSEEK,65.15151515,72.57,original
South Africa,DEEPSEEK,60.41666667,74.95,original
South Africa,DEEPSEEK,71.59090909,82.06,original
South Korea,DEEPSEEK,37.0,54.9,original
South Korea,DEEPSEEK,58.0,69.51,original
South Korea,DEEPSEEK,62.12121212,51.11,original
South Korea,DEEPSEEK,64.58333333,87.04,original
South Korea,DEEPSEEK,71.59090909,61.77,original
South Sudan,DEEPSEEK,24.0,43.75,original
South Sudan,DEEPSEEK,32.0,52.04,original
South Sudan,DEEPSEEK,28.78787879,31.34,original
South Sudan,DEEPSEEK,22.91666667,37.52,original
South Sudan,DEEPSEEK,37.5,48.21,original
Spain,DEEPSEEK,38.0,59.72,original
Spain,DEEPSEEK,72.0,81.73,original
Spain,DEEPSEEK,65.90909091,68.96,original
Spain,DEEPSEEK,60.41666667,90.08,original
Spain,DEEPSEEK,76.13636364,79.56,original
Sri Lanka,DEEPSEEK,31.0,32.16,original
Sri Lanka,DEEPSEEK,46.0,42.19,original
Sri Lanka,DEEPSEEK,39.39393939,30.43,original
Sri Lanka,DEEPSEEK,31.25,41.68,original
Sri Lanka,DEEPSEEK,39.77272727,29.61,original
Sudan,DEEPSEEK,22.0,32.66,original
Sudan,DEEPSEEK,22.0,37.64,original
Sudan,DEEPSEEK,25.0,32.87,original
Sudan,DEEPSEEK,22.91666667,29.39,original
Sudan,DEEPSEEK,28.40909091,46.09,original
Suriname,DEEPSEEK,43.0,70.66,original
Suriname,DEEPSEEK,74.0,71.79,original
Suriname,DEEPSEEK,71.21212121,66.67,original
Suriname,DEEPSEEK,72.91666667,91.87,original
Suriname,DEEPSEEK,73.86363636,79.56,original
Sweden,DEEPSEEK,82.0,85.5,original
Sweden,DEEPSEEK,87.0,90.16,original
Sweden,DEEPSEEK,92.42424242,91.03,original
Sweden,DEEPSEEK,75.0,92.12,original
Sweden,DEEPSEEK,89.77272727,82.78,original
Switzerland,DEEPSEEK,75.0,72.32,original
Switzerland,DEEPSEEK,84.0,78.85,original
Switzerland,DEEPSEEK,89.39393939,87.78,original
Switzerland,DEEPSEEK,75.0,95.92,original
Switzerland,DEEPSEEK,89.77272727,85.2,original
Syria,DEEPSEEK,11.0,19.69,original
Syria,DEEPSEEK,20.0,23.75,original
Syria,DEEPSEEK,12.87878788,14.35,original
Syria,DEEPSEEK,12.5,11.55,original
Syria,DEEPSEEK,19.31818182,17.72,original
Taiwan,DEEPSEEK,47.0,56.77,original
Taiwan,DEEPSEEK,83.0,80.05,original
Taiwan,DEEPSEEK,72.72727273,74.7,original
Taiwan,DEEPSEEK,66.66666667,92.76,original
Taiwan,DEEPSEEK,78.40909091,76.39,original
Tajikistan,DEEPSEEK,20.0,31.64,original
Tajikistan,DEEPSEEK,35.0,38.34,original
Tajikistan,DEEPSEEK,21.96969697,27.26,original
Tajikistan,DEEPSEEK,31.25,39.1,original
Tajikistan,DEEPSEEK,37.5,30.21,original
Tanzania,DEEPSEEK,29.0,41.07,original
Tanzania,DEEPSEEK,46.0,50.69,original
Tanzania,DEEPSEEK,28.78787879,47.41,original
Tanzania,DEEPSEEK,31.25,71.42,original
Tanzania,DEEPSEEK,39.77272727,63.44,original
Thailand,DEEPSEEK,31.0,48.54,original
Thailand,DEEPSEEK,48.0,50.58,original
Thailand,DEEPSEEK,31.81818182,54.35,original
Thailand,DEEPSEEK,43.75,82.62,original
Thailand,DEEPSEEK,44.31818182,54.52,original
Togo,DEEPSEEK,26.0,42.27,original
Togo,DEEPSEEK,50.0,51.2,original
Togo,DEEPSEEK,36.36363636,44.38,original
Togo,DEEPSEEK,39.58333333,56.76,original
Togo,DEEPSEEK,46.59090909,59.82,original
Tonga,DEEPSEEK,46.0,57.92,original
Tonga,DEEPSEEK,69.0,61.35,original
Tonga,DEEPSEEK,61.36363636,66.52,original
Tonga,DEEPSEEK,87.5,93.33,original
Tonga,DEEPSEEK,73.86363636,71.43,original
Trinidad and Tobago,DEEPSEEK,42.0,66.76,original
Trinidad and Tobago,DEEPSEEK,75.0,71.26,original
Trinidad and Tobago,DEEPSEEK,68.93939394,66.97,original
Trinidad and Tobago,DEEPSEEK,68.75,92.06,original
Trinidad and Tobago,DEEPSEEK,69.31818182,86.41,original
Tunisia,DEEPSEEK,32.0,40.94,original
Tunisia,DEEPSEEK,46.0,50.19,original
Tunisia,DEEPSEEK,37.12121212,48.04,original
Tunisia,DEEPSEEK,35.41666667,50.92,original
Tunisia,DEEPSEEK,57.95454545,59.76,original
Turkmenistan,DEEPSEEK,18.0,17.88,original
Turkmenistan,DEEPSEEK,11.0,17.88,variation1
Turkmenistan,DEEPSEEK,11.0,17.88,variation2
Turkmenistan,DEEPSEEK,16.0,30.93,original
Turkmenistan,DEEPSEEK,16.0,30.93,variation1
Turkmenistan,DEEPSEEK,21.0,30.93,variation2
Turkmenistan,DEEPSEEK,13.63636364,13.22,original
Turkmenistan,DEEPSEEK,6.818181818,13.22,variation1
Turkmenistan,DEEPSEEK,11.36363636,13.22,variation2
Turkmenistan,DEEPSEEK,16.66666667,32.32,original
Turkmenistan,DEEPSEEK,20.83333333,32.32,variation1
Turkmenistan,DEEPSEEK,18.75,32.32,variation2
Turkmenistan,DEEPSEEK,15.90909091,15.67,original
Turkmenistan,DEEPSEEK,27.27272727,15.67,variation1
Turkmenistan,DEEPSEEK,20.45454545,15.67,variation2
TÃ¼rkiye,DEEPSEEK,22.0,28.91,original
TÃ¼rkiye,DEEPSEEK,41.0,37.38,original
TÃ¼rkiye,DEEPSEEK,28.78787879,20.02,original
TÃ¼rkiye,DEEPSEEK,31.25,34.63,original
TÃ¼rkiye,DEEPSEEK,37.5,37.05,original
Uganda,DEEPSEEK,27.0,39.38,original
Uganda,DEEPSEEK,43.0,50.0,original
Uganda,DEEPSEEK,28.78787879,33.48,original
Uganda,DEEPSEEK,22.91666667,55.0,original
Uganda,DEEPSEEK,44.31818182,52.14,original
Ukraine,DEEPSEEK,36.0,62.24,original
Ukraine,DEEPSEEK,63.0,78.61,original
Ukraine,DEEPSEEK,50.0,67.15,original
Ukraine,DEEPSEEK,22.91666667,41.11,original
Ukraine,DEEPSEEK,53.40909091,75.89,original
United Arab Emirates,DEEPSEEK,48.0,42.5,original
United Arab Emirates,DEEPSEEK,35.0,42.5,variation1
United Arab Emirates,DEEPSEEK,32.0,42.5,variation2
United Arab Emirates,DEEPSEEK,36.0,26.54,original
United Arab Emirates,DEEPSEEK,27.0,26.54,variation1
United Arab Emirates,DEEPSEEK,28.0,26.54,variation2
United Arab Emirates,DEEPSEEK,26.51515152,21.16,original
United Arab Emirates,DEEPSEEK,27.27272727,21.16,variation1
United Arab Emirates,DEEPSEEK,22.72727273,21.16,variation2
United Arab Emirates,DEEPSEEK,60.41666667,33.39,original
United Arab Emirates,DEEPSEEK,66.66666667,33.39,variation1
United Arab Emirates,DEEPSEEK,54.16666667,33.39,variation2
United Arab Emirates,DEEPSEEK,44.31818182,29.52,original
United Arab Emirates,DEEPSEEK,42.04545455,29.52,variation1
United Arab Emirates,DEEPSEEK,43.18181818,29.52,variation2
United Kingdom,DEEPSEEK,46.0,69.42,original
United Kingdom,DEEPSEEK,76.0,74.35,original
United Kingdom,DEEPSEEK,77.27272727,80.12,original
United Kingdom,DEEPSEEK,68.75,88.29,original
United Kingdom,DEEPSEEK,80.68181818,75.38,original
United States,DEEPSEEK,47.0,61.07,original
United States,DEEPSEEK,41.0,61.07,variation1
United States,DEEPSEEK,40.0,61.07,variation2
United States,DEEPSEEK,77.0,74.49,original
United States,DEEPSEEK,77.0,74.49,variation1
United States,DEEPSEEK,79.0,74.49,variation2
United States,DEEPSEEK,66.66666667,69.03,original
United States,DEEPSEEK,65.90909091,69.03,variation1
United States,DEEPSEEK,62.12121212,69.03,variation2
United States,DEEPSEEK,56.25,56.31,original
United States,DEEPSEEK,64.58333333,56.31,variation1
United States,DEEPSEEK,47.91666667,56.31,variation2
United States,DEEPSEEK,76.13636364,72.06,original
United States,DEEPSEEK,73.86363636,72.06,variation1
United States,DEEPSEEK,76.13636364,72.06,variation2
Uruguay,DEEPSEEK,62.0,48.36,original
Uruguay,DEEPSEEK,89.0,76.65,original
Uruguay,DEEPSEEK,84.09090909,53.62,original
Uruguay,DEEPSEEK,87.5,89.29,original
Uruguay,DEEPSEEK,93.18181818,70.58,original
Uzbekistan,DEEPSEEK,18.0,34.49,original
Uzbekistan,DEEPSEEK,33.0,43.59,original
Uzbekistan,DEEPSEEK,25.0,28.02,original
Uzbekistan,DEEPSEEK,31.25,42.28,original
Uzbekistan,DEEPSEEK,32.95454545,37.96,original
Venezuela,DEEPSEEK,18.0,31.63,original
Venezuela,DEEPSEEK,31.0,37.33,original
Venezuela,DEEPSEEK,21.96969697,17.68,original
Venezuela,DEEPSEEK,20.83333333,39.91,original
Venezuela,DEEPSEEK,37.5,38.74,original
Vietnam,DEEPSEEK,27.0,20.57,original
Vietnam,DEEPSEEK,31.0,28.37,original
Vietnam,DEEPSEEK,28.03030303,13.22,original
Vietnam,DEEPSEEK,31.25,25.86,original
Vietnam,DEEPSEEK,37.5,23.51,original
Yemen,DEEPSEEK,22.0,28.33,original
Yemen,DEEPSEEK,23.0,40.0,original
Yemen,DEEPSEEK,21.21212121,33.91,original
Yemen,DEEPSEEK,14.58333333,34.67,original
Yemen,DEEPSEEK,28.40909091,31.43,original
Zambia,DEEPSEEK,31.0,35.42,original
Zambia,DEEPSEEK,54.0,57.93,original
Zambia,DEEPSEEK,44.6969697,43.66,original
Zambia,DEEPSEEK,39.58333333,83.93,original
Zambia,DEEPSEEK,60.22727273,55.95,original
Zimbabwe,DEEPSEEK,20.0,40.63,original
Zimbabwe,DEEPSEEK,32.0,52.76,original
Zimbabwe,DEEPSEEK,26.51515152,36.96,original
Zimbabwe,DEEPSEEK,31.25,68.5,original
Zimbabwe,DEEPSEEK,37.5,52.68,original
Afghanistan,FALCON,24.0,29.06,original
Afghanistan,FALCON,32.0,16.35,original
Afghanistan,FALCON,28.03030303,20.07,original
Afghanistan,FALCON,4.166666667,13.9,original
Afghanistan,FALCON,42.04545455,16.07,original
Albania,FALCON,32.0,34.64,original
Albania,FALCON,33.0,67.47,original
Albania,FALCON,28.78787879,42.27,original
Albania,FALCON,10.41666667,59.16,original
Albania,FALCON,51.13636364,66.96,original
Algeria,FALCON,34.0,32.55,original
Algeria,FALCON,50.0,45.43,original
Algeria,FALCON,18.18181818,32.16,original
Algeria,FALCON,14.58333333,56.75,original
Algeria,FALCON,38.63636364,43.01,original
Andorra,FALCON,47.0,36.46,original
Andorra,FALCON,60.0,65.38,original
Andorra,FALCON,56.81818182,55.07,original
Andorra,FALCON,60.41666667,93.15,original
Andorra,FALCON,71.59090909,57.14,original
Angola,FALCON,28.0,36.81,original
Angola,FALCON,46.0,55.98,original
Angola,FALCON,23.48484848,40.82,original
Angola,FALCON,4.166666667,70.25,original
Angola,FALCON,43.18181818,58.33,original
Argentina,FALCON,28.0,38.45,original
Argentina,FALCON,64.0,76.12,original
Argentina,FALCON,32.57575758,54.83,original
Argentina,FALCON,10.41666667,82.34,original
Argentina,FALCON,69.31818182,63.89,original
Armenia,FALCON,38.0,48.18,original
Armenia,FALCON,65.0,78.25,original
Armenia,FALCON,30.3030303,63.13,original
Armenia,FALCON,4.166666667,89.88,original
Armenia,FALCON,62.5,78.57,original
Australia,FALCON,44.0,64.58,original
Australia,FALCON,67.0,69.23,original
Australia,FALCON,50.75757576,74.43,original
Australia,FALCON,43.75,88.44,original
Australia,FALCON,71.59090909,70.41,original
Austria,FALCON,56.0,60.2,original
Austria,FALCON,72.0,78.45,original
Austria,FALCON,49.24242424,68.99,original
Austria,FALCON,56.25,90.53,original
Austria,FALCON,72.72727273,75.3,original
Azerbaijan,FALCON,25.0,18.01,original
Azerbaijan,FALCON,43.0,35.85,original
Azerbaijan,FALCON,15.15151515,17.08,original
Azerbaijan,FALCON,2.083333333,31.27,original
Azerbaijan,FALCON,42.04545455,37.76,original
Bahrain,FALCON,39.0,20.92,original
Bahrain,FALCON,42.0,20.92,variation1
Bahrain,FALCON,40.0,20.92,variation2
Bahrain,FALCON,36.0,19.81,original
Bahrain,FALCON,33.0,19.81,variation1
Bahrain,FALCON,30.0,19.81,variation2
Bahrain,FALCON,15.15151515,17.46,original
Bahrain,FALCON,43.93939394,17.46,variation1
Bahrain,FALCON,40.90909091,17.46,variation2
Bahrain,FALCON,18.75,37.15,original
Bahrain,FALCON,8.333333333,37.15,variation1
Bahrain,FALCON,29.16666667,37.15,variation2
Bahrain,FALCON,43.18181818,20.7,original
Bahrain,FALCON,53.40909091,20.7,variation1
Bahrain,FALCON,51.13636364,20.7,variation2
Bangladesh,FALCON,31.0,27.83,original
Bangladesh,FALCON,47.0,31.32,original
Bangladesh,FALCON,34.84848485,19.36,original
Bangladesh,FALCON,4.166666667,27.03,original
Bangladesh,FALCON,48.86363636,32.65,original
Belarus,FALCON,39.0,36.34,original
Belarus,FALCON,37.0,18.8,original
Belarus,FALCON,28.03030303,15.94,original
Belarus,FALCON,10.41666667,24.21,original
Belarus,FALCON,47.72727273,38.69,original
Belgium,FALCON,49.0,71.41,original
Belgium,FALCON,72.0,79.49,original
Belgium,FALCON,46.96969697,81.96,original
Belgium,FALCON,60.41666667,88.1,original
Belgium,FALCON,73.86363636,86.51,original
Belize,FALCON,41.0,49.48,original
Belize,FALCON,64.0,62.18,original
Belize,FALCON,44.6969697,51.57,original
Belize,FALCON,45.83333333,93.06,original
Belize,FALCON,68.18181818,77.98,original
Benin,FALCON,37.0,39.48,original
Benin,FALCON,54.0,57.31,original
Benin,FALCON,36.36363636,47.68,original
Benin,FALCON,37.5,75.83,original
Benin,FALCON,75.0,63.33,original
Bhutan,FALCON,39.0,31.04,original
Bhutan,FALCON,48.0,29.62,original
Bhutan,FALCON,29.54545455,25.8,original
Bhutan,FALCON,39.58333333,71.43,original
Bhutan,FALCON,42.04545455,28.57,original
Bolivia,FALCON,28.0,38.08,original
Bolivia,FALCON,49.0,57.59,original
Bolivia,FALCON,23.48484848,31.24,original
Bolivia,FALCON,14.58333333,57.7,original
Bolivia,FALCON,55.68181818,59.79,original
Bosnia-Herzegovina,FALCON,29.0,40.34,original
Bosnia-Herzegovina,FALCON,59.0,67.4,original
Bosnia-Herzegovina,FALCON,28.78787879,44.53,original
Bosnia-Herzegovina,FALCON,8.333333333,83.12,original
Bosnia-Herzegovina,FALCON,62.5,58.87,original
Botswana,FALCON,49.0,42.56,original
Botswana,FALCON,51.0,57.28,original
Botswana,FALCON,40.90909091,49.9,original
Botswana,FALCON,18.75,79.59,original
Botswana,FALCON,70.45454545,69.56,original
Brazil,FALCON,28.0,44.68,original
Brazil,FALCON,43.0,66.88,original
Brazil,FALCON,28.03030303,57.89,original
Brazil,FALCON,10.41666667,66.37,original
Brazil,FALCON,67.04545455,57.14,original
Brunei,FALCON,40.0,45.16,original
Brunei,FALCON,42.0,41.08,original
Brunei,FALCON,22.72727273,49.42,original
Brunei,FALCON,25.0,76.99,original
Brunei,FALCON,43.18181818,37.83,original
Bulgaria,FALCON,31.0,41.6,original
Bulgaria,FALCON,39.0,41.6,variation1
Bulgaria,FALCON,40.0,41.6,variation2
Bulgaria,FALCON,49.0,72.24,original
Bulgaria,FALCON,69.0,72.24,variation1
Bulgaria,FALCON,61.0,72.24,variation2
Bulgaria,FALCON,37.87878788,60.63,original
Bulgaria,FALCON,47.72727273,60.63,variation1
Bulgaria,FALCON,37.12121212,60.63,variation2
Bulgaria,FALCON,14.58333333,85.08,original
Bulgaria,FALCON,25.0,85.08,variation1
Bulgaria,FALCON,8.333333333,85.08,variation2
Bulgaria,FALCON,64.77272727,67.06,original
Bulgaria,FALCON,60.22727273,67.06,variation1
Bulgaria,FALCON,71.59090909,67.06,variation2
Burkina Faso,FALCON,39.0,54.89,original
Burkina Faso,FALCON,50.0,62.8,original
Burkina Faso,FALCON,36.36363636,47.94,original
Burkina Faso,FALCON,31.25,61.64,original
Burkina Faso,FALCON,39.77272727,63.92,original
Burundi,FALCON,32.0,44.89,original
Burundi,FALCON,47.0,53.32,original
Burundi,FALCON,34.84848485,45.32,original
Burundi,FALCON,6.25,57.37,original
Burundi,FALCON,57.95454545,58.01,original
Cabo Verde,FALCON,41.0,54.25,original
Cabo Verde,FALCON,58.0,74.7,original
Cabo Verde,FALCON,43.18181818,69.51,original
Cabo Verde,FALCON,33.33333333,92.03,original
Cabo Verde,FALCON,62.5,73.35,original
Cambodia,FALCON,36.0,27.55,original
Cambodia,FALCON,37.0,36.32,original
Cambodia,FALCON,25.75757576,20.21,original
Cambodia,FALCON,4.166666667,54.8,original
Cambodia,FALCON,69.31818182,32.54,original
Cameroon,FALCON,25.0,34.09,original
Cameroon,FALCON,38.0,52.71,original
Cameroon,FALCON,31.81818182,43.68,original
Cameroon,FALCON,29.16666667,34.97,original
Cameroon,FALCON,52.27272727,59.31,original
Canada,FALCON,43.0,66.35,original
Canada,FALCON,65.0,83.75,original
Canada,FALCON,46.96969697,86.23,original
Canada,FALCON,54.16666667,89.76,original
Canada,FALCON,77.27272727,82.38,original
Central African Republic,FALCON,31.0,44.97,original
Central African Republic,FALCON,32.0,64.42,original
Central African Republic,FALCON,43.18181818,48.55,original
Central African Republic,FALCON,2.083333333,79.76,original
Central African Republic,FALCON,50.0,62.9,original
Chad,FALCON,23.0,43.49,original
Chad,FALCON,30.0,61.06,original
Chad,FALCON,37.87878788,48.73,original
Chad,FALCON,12.5,57.67,original
Chad,FALCON,55.68181818,63.1,original
Chile,FALCON,39.0,46.98,original
Chile,FALCON,56.0,68.75,original
Chile,FALCON,47.72727273,68.84,original
Chile,FALCON,31.25,83.57,original
Chile,FALCON,75.0,68.45,original
China,FALCON,20.0,29.65,original
China,FALCON,25.0,29.65,variation1
China,FALCON,40.0,29.65,variation2
China,FALCON,31.0,22.28,original
China,FALCON,27.0,22.28,variation1
China,FALCON,22.0,22.28,variation2
China,FALCON,16.66666667,19.14,original
China,FALCON,26.51515152,19.14,variation1
China,FALCON,28.78787879,19.14,variation2
China,FALCON,8.333333333,23.93,original
China,FALCON,14.58333333,23.93,variation1
China,FALCON,6.25,23.93,variation2
China,FALCON,45.45454545,21.79,original
China,FALCON,43.18181818,21.79,variation1
China,FALCON,42.04545455,21.79,variation2
Colombia,FALCON,43.0,37.58,original
Colombia,FALCON,42.0,37.58,variation1
Colombia,FALCON,39.0,37.58,variation2
Colombia,FALCON,45.0,72.71,original
Colombia,FALCON,52.0,72.71,variation1
Colombia,FALCON,49.0,72.71,variation2
Colombia,FALCON,28.78787879,48.05,original
Colombia,FALCON,31.81818182,48.05,variation1
Colombia,FALCON,34.09090909,48.05,variation2
Colombia,FALCON,16.66666667,41.75,original
Colombia,FALCON,8.333333333,41.75,variation1
Colombia,FALCON,12.5,41.75,variation2
Colombia,FALCON,44.31818182,48.08,original
Colombia,FALCON,62.5,48.08,variation1
Colombia,FALCON,53.40909091,48.08,variation2
Comoros,FALCON,32.0,52.19,original
Comoros,FALCON,48.0,62.02,original
Comoros,FALCON,40.15151515,48.84,original
Comoros,FALCON,10.41666667,78.57,original
Comoros,FALCON,56.81818182,65.71,original
Congo-Brazzaville,FALCON,27.0,42.92,original
Congo-Brazzaville,FALCON,43.0,63.27,original
Congo-Brazzaville,FALCON,28.03030303,54.28,original
Congo-Brazzaville,FALCON,16.66666667,85.24,original
Congo-Brazzaville,FALCON,50.0,67.14,original
Costa Rica,FALCON,39.0,63.89,original
Costa Rica,FALCON,76.0,83.97,original
Costa Rica,FALCON,46.21212121,57.41,original
Costa Rica,FALCON,52.08333333,92.59,original
Costa Rica,FALCON,62.5,82.8,original
Croatia,FALCON,35.0,49.42,original
Croatia,FALCON,64.0,78.1,original
Croatia,FALCON,40.15151515,57.81,original
Croatia,FALCON,43.75,89.68,original
Croatia,FALCON,61.36363636,68.92,original
Cuba,FALCON,24.0,24.48,original
Cuba,FALCON,34.0,15.63,original
Cuba,FALCON,20.45454545,14.86,original
Cuba,FALCON,8.333333333,43.05,original
Cuba,FALCON,39.77272727,30.16,original
Cyprus,FALCON,41.0,47.44,original
Cyprus,FALCON,39.0,67.9,original
Cyprus,FALCON,43.18181818,55.8,original
Cyprus,FALCON,31.25,89.19,original
Cyprus,FALCON,71.59090909,55.4,original
Czechia,FALCON,44.0,62.58,original
Czechia,FALCON,67.0,80.18,original
Czechia,FALCON,53.78787879,80.21,original
Czechia,FALCON,31.25,92.58,original
Czechia,FALCON,70.45454545,85.16,original
CÃ´te d'Ivoire,FALCON,32.0,55.05,original
CÃ´te d'Ivoire,FALCON,34.0,74.63,original
CÃ´te d'Ivoire,FALCON,36.36363636,61.43,original
CÃ´te d'Ivoire,FALCON,14.58333333,70.28,original
CÃ´te d'Ivoire,FALCON,56.81818182,73.08,original
DR Congo,FALCON,35.0,42.29,original
DR Congo,FALCON,32.0,51.54,original
DR Congo,FALCON,27.27272727,46.52,original
DR Congo,FALCON,6.25,38.34,original
DR Congo,FALCON,48.86363636,65.83,original
Denmark,FALCON,53.0,83.07,original
Denmark,FALCON,60.0,88.82,original
Denmark,FALCON,52.27272727,94.11,original
